Stage,Date & Time (US EDT/UTC-4),Date,Eastern Daylight Time,Date & Time (Vietnam),Column 1,Column 2,Team 1,Team 2,Match #,Location,Ours?,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
Group F,"Thursday, June 25, at 7:00 PM",June 25,19:00,"Friday, 26 June 2026 at 06:00:00",June 26,6:00,Tunisia,Netherlands,58,"Arrowhead Stadium, Kansas City",Y,,,,,,,,,,,,,,,,,,
Group D,"Thursday, June 25, at 10:00 PM",June 25,22:00,"Friday, 26 June 2026 at 09:00:00",June 26,9:00,Türkiye,United States,59,"SoFi Stadium, Inglewood",,,,,,,,,,,,,,,,,,,
Group D,"Thursday, June 25, at 10:00 PM",June 25,22:00,"Friday, 26 June 2026 at 09:00:00",June 26,9:00,Paraguay,Australia,60,"Levi's Stadium, Santa Clara",,,,,,,,,,,,,,,,,,,
Group I,"Friday, June 26, at 3:00 PM",June 26,15:00,"Saturday, 27 June 2026 at 02:00:00",June 27,2:00,Norway,France,61,"Gillette Stadium, Foxborough",Y,,,,,,,,,,,,,,,,,,
Group I,"Friday, June 26, at 3:00 PM",June 26,15:00,"Saturday, 27 June 2026 at 02:00:00",June 27,2:00,Senegal,Iraq,62,"BMO Field, Toronto",Y,,,,,,,,,,,,,,,,,,
Group H,"Friday, June 26, at 8:00 PM",June 26,20:00,"Saturday, 27 June 2026 at 07:00:00",June 27,7:00,Cape Verde,Saudi Arabia,65,"NRG Stadium, Houston",,,,,,,,,,,,,,,,,,,
Group H,"Friday, June 26, at 8:00 PM",June 26,20:00,"Saturday, 27 June 2026 at 07:00:00",June 27,7:00,Uruguay,Spain,66,"Estadio Akron, Zapopan",,,,,,,,,,,,,,,,,,,
Group G,"Friday, June 26, at 11:00 PM",June 26,23:00,"Saturday, 27 June 2026 at 10:00:00",June 27,10:00,Egypt,Iran,63,"Lumen Field, Seattle",,,,,,,,,,,,,,,,,,,
Group G,"Friday, June 26, at 11:00 PM",June 26,23:00,"Saturday, 27 June 2026 at 10:00:00",June 27,10:00,New Zealand,Belgium,64,"BC Place, Vancouver",,,,,,,,,,,,,,,,,,,
Group L,"Saturday, June 27, at 5:00 PM",June 27,17:00,"Sunday, 28 June 2026 at 04:00:00",June 28,4:00,Panama,England,67,"MetLife Stadium, East Rutherford",,,,,,,,,,,,,,,,,,,
